STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT11
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030425,-9999,-9999,25,-9999,-9999,150,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030426,-9999,-9999,0,-9999,-9999,161,83,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030427,-9999,-9999,58,-9999,-9999,183,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030428,-9999,-9999,58,-9999,-9999,150,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030429,-9999,-9999,0,-9999,-9999,156,106,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030430,-9999,-9999,0,-9999,-9999,156,89,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030501,-9999,-9999,145,-9999,-9999,194,117,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030502,-9999,-9999,0,-9999,-9999,161,122,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030503,-9999,-9999,69,-9999,-9999,172,122,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030504,-9999,-9999,10,-9999,-9999,156,111,-9999,-9999,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,53.3,37.76944,-122.43333,20030505,-9999,-9999,0,-9999,-9999,167,94,-9999,-9999,-9999
